name,address,phone,email,website,facebook,categories
KBV Sevnica - POŠ Sava Kladnika Loka,"Loka pri Zid. mostu 72, 1434 Loka pri Zid. mostu",,kbv.sevnica@gmail.com,http://www.kbv-sevnica.com,,karate
KBV Sevnica - OŠ Dobje pri Planini,"Dobje pri Planini 20, 3224 Dobje",,kbv.sevnica@gmail.com,http://www.kbv-sevnica.com,,karate
KBV Sevnica - OŠ Planina pri Sevnici,"Planina pri Sevnici 69, 3225 Planina pri Sevnici",,kbv.sevnica@gmail.com,http://www.kbv-sevnica.com,,karate
KBV Sevnica - OŠ Marjana Nemca Radeče,"Šolska pot 5, 1433 Radeče",,kbv.sevnica@gmail.com,http://www.kbv-sevnica.com,,karate
Karate klub Samurai Sežana,"Povir 20g, 6210 Sežana","031 377 382, 031 301 217, 031 393 110",samurai.sezana@gmail.com,http://www.samurai-sezana.si/,,karate
Čigra - Klub vadbe in promocije karateja za zdravje,"Medvoška cesta 16, 1215 Medvode",,cigra.klub.karateja@gmail.com,,,karate
JKA karate v Ljubljani,"Kotnikova ulica 8, 1000 Ljubljana",,branko.gabrovec@jka-slovenija.si,http://www.jka-slovenija.si/index.php/klubi-clanstvo/38-predstavitev/163-jka-v-ljubljani,,karate
Karate klub Termotehna,"Veljka Vlahoviča 35, 2000 Maribor","040 526 825 , 040 277 844",miran.cokl@guest.arnes.si,www.karate-klub-termotehna.si/,https://www.facebook.com/karateklubtermotehna,karate
Športno društvo Karate Studenci,"Na poljanah 35, Maribor",041 387 260,spolariz@volja.net,,https://www.facebook.com/sportnodrustvo.karatestudenci,karate
Karate klub TANI-HA- SHITO- RYU Maribor,"Zrkovska cesta 67, 2000 Maribor",041 786 072,info@karat-maribor.si,www.karate-maribor.si,https://www.facebook.com/karatemaribor,karate
Karate klub Pohorje,"Lackova c. 17/a, 2000 Maribor",,herbiv@gmail.com,,,karate
"S.K.I.F. ""Kanazawa"" dojo Maribor","Cesta zmage 92, 2000 Maribor",02 320 46 33,info@honbu-dojo.com,http://server.h0tb1t.eu/honbu-dojo/sl/,,karate
"Shotokan Karate-Do Klub ""Š.D. RUŠE""","Lesjakova 4, 2342 Ruše ",041 747 331,info@ski-sdruse.com,http://www.ski-sdruse.com/,,karate
"Shotokan Karate-Do Klub ""Katana"" Radlje ob Dravi","Klopčičeva 1, 1117 Ljubljana",02 88 80 470,katana@skif-slo.org,http://www.skif-slo.org/klubi/predstavitve/katana_start.php,,karate
"Karate Klub ""Tromejnik"" Kuzma","Kuzma 20, 9263 Kuzma",041 613 372,tromejnik@skif-slo.org,http://www.karatetromejnik.com/zacetek.htm,,karate
"S.K.I. Klub ""Poljcane""","Dravinjska cesta 26, 2319 Poljčane",041 833 700,poljcane@skif-slo.org,http://www.skif-slo.org/klubi/predstavitve/poljcane_start.php,,karate
"Karate Drustvo ""ATOM"" Shotokan-do Domzale - DOJO","Pot za bistrico 53, 1230 Domzale","041 848 470, 041 629 763",kokalj@siol.net,http://www.karatedomzale.com/,,karate
"Karate Drustvo ""ATOM"" Shotokan-do Domzale - OS Domzale","Bistriska 19, Domzale","42 848 470, 041 629 763",kokalj@siol.net,http://www.karatedomzale.com/,,karate
"Karate Drustvo ""ATOM"" Shotokan-do Domzale - OS FR Stane","Prušnikova ulica 85, Sentvid","43 848 470, 041 629 763",kokalj@siol.net,http://www.karatedomzale.com/,,karate
"Karate Drustvo ""ATOM"" Shotokan-do Domzale - OS Trzin","Mengeska 8b, Trzin","44 848 470, 041 629 763",kokalj@siol.net,http://www.karatedomzale.com/,,karate
"Karate Klub ""Shogun"" Ljubljana",Trojane,"040 215 251, 041 848 470",derenda@gmail.com,http://www.derenda.org/karate.html,,karate
Karate-do klub IG Shotokan,"Trostova 24, 1292 ig, ljubljana","041 200 219, 041 848 470",kabajkan@yahoo.com,http://www.karateig.com/,https://www.facebook.com/karateig,"karate, zumba"
Karate-do klub Funacoshi Gichin Ljubljana,"Prusnikova 85, Ljubljana Sentvid",040 669 909,ksenija.pevec@siol.net,http://www.karate-gichin.si/sentvid.html,,karate
S.K.I Klub Cankova - OŠ Cankova,"Cankova 27, 9261 Cankova",041 349 538,jelka.trajbar@siol.net,http://karatecankova.com/,,karate
S.K.I Klub Cankova - OŠ Gornji Petrovci,"Gornji Petrovci 2, 9203 Petrovci",041 349 538,jelka.trajbar@siol.net,http://karatecankova.com/,,karate
